15603303	sample	sample	B13_1127_clr2bl_enYY	1385572523.000000	20131127171523	US	en	C13_wpdr_enWWform2_FR	NULL	cc	NULL	NULL	no-LP
15603312	sample	sample	B13_1127_clr2bl_enYY	1385572584.000000	20131127171624	GB	en	C13_wpdr_enWWform2_FR	NULL	rrcc	NULL	NULL	no-LP
15603331	sample	sample	B13_1127_clr2bl_enYY	1385572698.000000	20131127171818	US	en	C13_wpdr_enWWform2_FR	20.00	cc	20.00	USD	no-LP
15603335	sample	sample	B13_1127_clr2bl_enYY	1385572709.000000	20131127171829	GB	en	C13_wpdr_enWWform2_FR	16.17	paypal	10.00	GBP	no-LP
15603336	sample	sample	B13_1127_clr2bl_enYY	1385572710.000000	20131127171830	US	en	C13_wpdr_enWWform2_FR	NULL	amazon	NULL	NULL	no-LP
15603343	sample	sample	B13_1127_clr2gd_enYY	1385572751.000000	20131127171911	GB	en	C13_wpdr_enWWform2_FR	NULL	cc	NULL	NULL	no-LP
15603344	sample	sample	B13_1127_clr2gd_enYY	1385572756.000000	20131127171916	US	en	C13_wpdr_enWWform2_FR	5.00	amazon	5.00	USD	no-LP
15603349	sample	sample	B13_1127_clr2bl_enYY	1385572781.000000	20131127171941	US	en	C13_wpdr_enWWform2_FR	NULL	cc	NULL	NULL	no-LP
15603354	sample	sample	B13_1127_clr2gd_enYY	1385572813.000000	20131127172013	US	en	C13_wpdr_enWWform2_FR	5.00	paypal	5.00	USD	no-LP
15603357	sample	sample	B13_1127_clr2gd_enYY	1385572819.000000	20131127172019	GB	en	C13_wpdr_enWWform2_FR	NULL	paypal	NULL	NULL	no-LP
15603359	sample	sample	B13_1127_clr2bl_enYY	1385572827.000000	20131127172027	US	en	C13_wpdr_enWWform2_FR	3.00	amazon	3.00	USD	no-LP
15603361	sample	sample	B13_1127_clr2gd_enYY	1385572832.000000	20131127172032	CA	en	C13_wpdr_enWWform2_FR	NULL	cc	NULL	NULL	no-LP
15603364	sample	sample	B13_1127_clr2bl_enYY	1385572864.000000	20131127172104	US	en	C13_wpdr_enWWform2_FR	30.00	cc	30.00	USD	no-LP
15603365	sample	sample	B13_1127_clr2bl_enYY	1385572864.000000	20131127172104	US	en	C13_wpdr_enWWform2_FR	NULL	paypal	NULL	NULL	no-LP
15603367	sample	sample	B13_1127_clr2gd_enYY	1385572869.000000	20131127172109	US	en	C13_wpdr_enWWform2_FR	10.00	cc	10.00	USD	no-LP
15603369	sample	sample	B13_1127_clr2bl_enYY	1385572874.000000	20131127172114	US	en	C13_wpdr_enWWform2_FR	5.00	paypal	5.00	USD	no-LP
15603370	sample	sample	B13_1127_clr2bl_enYY	1385572879.000000	20131127172119	US	en	C13_wpdr_enWWform2_FR	NULL	paypal	NULL	NULL	no-LP
15603372	sample	sample	B13_1127_clr2bl_enYY	1385572887.000000	20131127172127	US	en	C13_wpdr_enWWform2_FR	5.00	cc	5.00	USD	no-LP
15603387	sample	sample	B13_1127_clr2bl_enYY	1385572937.000000	20131127172217	US	en	C13_wpdr_enWWform2_FR	5.00	cc	5.00	USD	no-LP
15603390	sample	sample	B13_1127_clr2gd_enYY	1385572940.000000	20131127172220	GB	en	C13_wpdr_enWWform2_FR	1.62	rrpaypal	1.00	GBP	no-LP
15603392	sample	sample	B13_1127_clr2gd_enYY	1385572952.000000	20131127172232	US	en	C13_wpdr_enWWform2_FR	NULL	cc	NULL	NULL	no-LP
15603394	sample	sample	B13_1127_clr2bl_enYY	1385572959.000000	20131127172239	GB	en	C13_wpdr_enWWform2_FR	NULL	paypal	NULL	NULL	no-LP
15603398	sample	sample	B13_1127_clr2gd_enYY	1385572981.000000	20131127172301	US	en	C13_wpdr_enWWform2_FR	30.00	cc	30.00	USD	no-LP
15603400	sample	sample	B13_1127_clr2bl_enYY	1385572982.000000	20131127172302	US	en	C13_wpdr_enWWform2_FR	NULL	paypal	NULL	NULL	no-LP
15603401	sample	sample	B13_1127_clr2gd_enYY	1385572989.000000	20131127172309	US	en	C13_wpdr_enWWform2_FR	20.00	paypal	20.00	USD	no-LP
15603402	sample	sample	B13_1127_clr2gd_enYY	1385572994.000000	20131127172314	US	en	C13_wpdr_enWWform2_FR	NULL	cc	NULL	NULL	no-LP
15603404	sample	sample	B13_1127_clr2gd_enYY	1385573006.000000	20131127172326	US	en	C13_wpdr_enWWform2_FR	NULL	paypal	NULL	NULL	no-LP
